year;university;major;branch;language;study_form_symbol;main_min_score;main_competition_score;has_subbakalavr;sub_min_score;sub_competition_score
2021-2022;Bakı Dövlət Universiteti;Biologiya müəllimliyi;;Azerbaijani;Ə;372.9;372.9;NO;;
2021-2022;Bakı Dövlət Universiteti;Kimya müəllimliyi;;Azerbaijani;Ə;377.8;395.4;NO;;
2021-2022;Bakı Dövlət Universiteti;Psixologiya;;Azerbaijani;Ə;474.8;475.0;NO;;
2021-2022;Bakı Dövlət Universiteti;Psixologiya;;Azerbaijani;Q;375.0;375.1;NO;;
2021-2022;Bakı Dövlət Universiteti;Psixologiya ;;English;Ə;527.6;;NO;;
2021-2022;Bakı Dövlət Universiteti;Biologiya;;Azerbaijani;Ə;405.3;405.3;NO;;
2021-2022;Bakı Dövlət Universiteti;Biologiya;;Azerbaijani;Q;0.0;331.2;YES;94.2;
2021-2022;Bakı Dövlət Universiteti;Biologiya ;;English;Ə;481.0;;NO;;
2021-2022;Bakı Dövlət Universiteti;Biotexnologiya;;Azerbaijani;Ə;492.6;492.6;NO;;
2021-2022;Bakı Dövlət Universiteti;Ekologiya;;Azerbaijani;Ə;297.0;297.0;NO;;
2021-2022;Bakı Dövlət Universiteti;Ekologiya;;Azerbaijani;Q;212.3;224.4;NO;;
2021-2022;Bakı Dövlət Universiteti;Ekologiya ;;English;Ə;353.7;;NO;;
2021-2022;Bakı Dövlət Universiteti;Kimya;;Azerbaijani;Ə;416.2;416.2;NO;;
2021-2022;Bakı Dövlət Universiteti;Kimya ;;English;Ə;490.5;;NO;;
2021-2022;Bakı Dövlət Universiteti;Bitki mühafizəsi;;Azerbaijani;Ə;218.9;223.1;NO;;
2021-2022;Bakı Dövlət Universiteti;Su bioehtiyatları və akvakultura;;Azerbaijani;Ə;259.7;261.3;NO;;
2021-2022;Bakı Dövlət Universiteti;Kimya və biologiya müəllimliyi;Qazax filialı;Azerbaijani;Ə;200.0;;NO;;
2021-2022;Azərbaycan Tibb Universiteti;Əczaçılıq;;Azerbaijani;Ə;524.0;524.0;NO;;
2021-2022;Azərbaycan Tibb Universiteti;Fizioterapiya və tibbi reabilitasiya;;Azerbaijani;Ə;549.5;567.7;NO;;
2021-2022;Azərbaycan Tibb Universiteti;Tibb bacısı işi;;Azerbaijani;Ə;466.6;488.9;NO;;
2021-2022;Azərbaycan Tibb Universiteti;İctimai səhiyyə;;Azerbaijani;Ə;543.7;545.5;NO;;
2021-2022;Azərbaycan Tibb Universiteti;Stomatologiya;;Azerbaijani;Ə;577.9;577.9;NO;;
2021-2022;Azərbaycan Tibb Universiteti;Tibb;;Azerbaijani;Ə;556.6;595.0;NO;;
2021-2022;Azərbaycan Tibb Universiteti;Tibb ;;English;Ə;666.3;;NO;;
2021-2022;Azərbaycan Dövlət Pedaqoji Universiteti;Biologiya müəllimliyi;;Azerbaijani;Ə;260.8;360.2;NO;;
2021-2022;Azərbaycan Dövlət Pedaqoji Universiteti;Kimya müəllimliyi;;Azerbaijani;Ə;278.2;447.6;NO;;
2021-2022;Azərbaycan Dövlət Pedaqoji Universiteti;Kimya və biologiya müəllimliyi;;Azerbaijani;Ə;393.9;393.9;NO;;
2021-2022;Azərbaycan Dövlət iqtisad Universiteti;Ekologiya;;Azerbaijani;Ə;253.4;254.1;NO;;
2021-2022;Azərbaycan Dövlət iqtisad Universiteti;Ekologiya;;Azerbaijani;Q;195.3;331.0;NO;;
2021-2022;Bakı Mühəndislik Universiteti;Biologiya müəllimliyi ;;English;Ə;256.8;;NO;;
2021-2022;Bakı Mühəndislik Universiteti;Kimya müəllimliyi ;;English;Ə;276.2;;NO;;
2021-2022;Azərbaycan Dövlət Bədən Tərbiyəsi və İdman Akademiyası;Bədən tərbiyəsi və idmanda reabilitasiya;;Azerbaijani;Ə;312.3;349.0;NO;;
2021-2022;Naxçıvan Dövlət Universiteti;Biologiya müəllimliyi;;Azerbaijani;Ə;200.0;367.3;NO;;
