4cu_qrup
year;university;major;branch;language;study_form_symbol;main_min_score;main_competition_score;has_subbakalavr;sub_min_score;sub_competition_score
2023-2024;Bakı Dövlət Universiteti;Biologiya müəllimliyi;;Azerbaijani;Ə;371.7;371.7;NO;;
2023-2024;Bakı Dövlət Universiteti;Kimya müəllimliyi;;Azerbaijani;Ə;399.8;399.8;NO;;
2023-2024;Bakı Dövlət Universiteti;Psixologiya;;Azerbaijani;Ə;466.0;466.0;NO;;
2023-2024;Bakı Dövlət Universiteti;Psixologiya;;Azerbaijani;Q;386.4;408.9;NO;;
2023-2024;Bakı Dövlət Universiteti;Psixologiya;;English;Ə;511.1;;NO;;
2023-2024;Bakı Dövlət Universiteti;Biologiya;;Azerbaijani;Ə;438.7;438.7;NO;;
2023-2024;Bakı Dövlət Universiteti;Biologiya;;Azerbaijani;Q;315.9;315.9;NO;;
2023-2024;Bakı Dövlət Universiteti;Biologiya;;English;Ə;460.5;;NO;;
2023-2024;Bakı Dövlət Universiteti;Biotexnologiya;;Azerbaijani;Ə;481.8;481.8;NO;;
2023-2024;Bakı Dövlət Universiteti;Ekologiya;;Azerbaijani;Ə;271.7;271.7;NO;;
2023-2024;Bakı Dövlət Universiteti;Ekologiya;;Azerbaijani;Q;219.1;221.3;NO;;
2023-2024;Bakı Dövlət Universiteti;Ekologiya;;English;Ə;334.1;;NO;;
2023-2024;Bakı Dövlət Universiteti;Kimya;;Azerbaijani;Ə;418.9;418.9;NO;;
2023-2024;Bakı Dövlət Universiteti;Kimya;;English;Ə;491.8;;NO;;
2023-2024;Bakı Dövlət Universiteti;Bitki mühafizəsi;;Azerbaijani;Ə;234.9;235.6;NO;;
2023-2024;Bakı Dövlət Universiteti;Su bioehtiyatları və akvakultura;;Azerbaijani;Ə;232.6;232.6;NO;;
2023-2024;Bakı Dövlət Universiteti;Kimya və biologiya müəllimliyi;;Azerbaijani;Ə;252.1;278.2;NO;;
2023-2024;Azərbaycan Tibb Universiteti;Əczaçılıq;;Azerbaijani;Ə;503.1;503.1;NO;;
2023-2024;Azərbaycan Tibb Universiteti;Fizioterapiya və tibbi reabilitasiya;;Azerbaijani;Ə;536.5;543.0;NO;;
2023-2024;Azərbaycan Tibb Universiteti;Tibb bacısı işi;;Azerbaijani;Ə;457.8;498.8;NO;;
2023-2024;Azərbaycan Tibb Universiteti;İctimai səhiyyə;;Azerbaijani;Ə;528.3;528.3;NO;;
