5ci_qrup
year;university;major;branch;language;study_form_symbol;main_min_score;main_competition_score;has_subbakalavr;sub_min_score;sub_competition_score
2022-2023;Bakı Dövlət Universiteti;Fiziki tərbiyə və çağırışaqədərki;;Azerbaijani;Ə;100.1;;NO;;
2022-2023;Azərbaycan Memarlıq və İnşaat Universiteti;Dizayn;;Azerbaijani;Ə;60.0;135.1;YES;70.6;
2022-2023;Azərbaycan Memarlıq və İnşaat Universiteti;Dizayn;;English;Ə;172.4;172.4;NO;;
2022-2023;Azərbaycan Dövlət Pedaqoji Universiteti;Fiziki tərbiyə və çağırışaqədərki;;Azerbaijani;Ə;114.7;141.2;NO;;
2022-2023;Azərbaycan Dövlət Pedaqoji Universiteti;Musiqi müəllimliyi (fortepiano, violin);;Azerbaijani;Ə;60.0;76.3;YES;75.3;
2022-2023;Azərbaycan Dövlət Pedaqoji Universiteti;Təsviri incəsənət müəllimliyi;;Azerbaijani;Ə;107.0;126.8;NO;;
2022-2023;Azərbaycan Dövlət Pedaqoji Universiteti;Dizayn;;Azerbaijani;Ə;173.4;195.8;NO;;
2022-2023;Azərbaycan Dövlət Pedaqoji Universiteti;Dizayn;;Azerbaijani;Ə;170.3;204.6;NO;;
2022-2023;Azərbaycan Dövlət Pedaqoji Universiteti;Dizayn;;English;Ə;184.4;196.3;NO;;
2022-2023;Azərbaycan Dövlət Pedaqoji Universiteti;Musiqi müəllimliyi (fortepiano, violin);;Azerbaijani;Ə;82.9;82.9;NO;;
2022-2023;Azərbaycan Dövlət Pedaqoji Universiteti;Bəstəkarlıq;;Azerbaijani;Ə;60.0;194.8;NO;;
2022-2023;Azərbaycan Dövlət Pedaqoji Universiteti;Dirijorluq (xor dirijorluğu, nəfəs alətləri orkestrinin dirijorluğu);;Azerbaijani;Ə;60.0;68.5;YES;64.8;64.8
2022-2023;Azərbaycan Dövlət Pedaqoji Universiteti;İnstrumental ifaçılıq (fortepiano);;Azerbaijani;Ə;60.0;198.2;YES;51.0;79.8
2022-2023;Azərbaycan Dövlət Pedaqoji Universiteti;Musiqişünaslıq;;Azerbaijani;Ə;60.0;73.7;NO;;
2022-2023;Azərbaycan Dövlət Pedaqoji Universiteti;Populyar musiqi və caz ifaçılığı;;Azerbaijani;Ə;87.7;87.7;NO;;
2022-2023;Azərbaycan Dövlət Pedaqoji Universiteti;Vokal sənəti (akademik vokal);;Azerbaijani;Ə;85.3;85.3;NO;;
2022-2023;Azərbaycan Milli Konservatoriyası;Musiqi müəllimliyi (fortepiano, tar);;Azerbaijani;Ə;66.2;72.8;NO;;
2022-2023;Azərbaycan Milli Konservatoriyası;Bəstəkarlıq;;Azerbaijani;Ə;60.0;;NO;;
2022-2023;Azərbaycan Milli Konservatoriyası;Dirijorluq (xalq çalğı alətləri);;Azerbaijani;Ə;60.0;60.0;YES;51.0;71.9
2022-2023;Azərbaycan Milli Konservatoriyası;İnstrumental ifaçılıq (fortepiano);;Azerbaijani;Ə;60.0;60.0;YES;63.3;63.7
2022-2023;Azərbaycan Milli Konservatoriyası;Musiqişünaslıq;;Azerbaijani;Ə;60.0;87.5;NO;;
2022-2023;Azərbaycan Milli Konservatoriyası;Populyar musiqi və caz ifaçılığı;;Azerbaijani;Ə;60.0;156.1;NO;;
2022-2023;Azərbaycan Milli Konservatoriyası;Vokal sənəti (xanəndəlik);;Azerbaijani;Ə;60.0;160.6;YES;65.3;65.3
2022-2023;Azərbaycan Milli Konservatoriyası;Vokal sənəti (milli vokal);;Azerbaijani;Ə;60.0;71.7;YES;51.0;78.9
2022-2023;Azərbaycan Dövlət Mədəniyyət və İncəsənət Universiteti;Musiqi müəllimliyi (fortepiano, violin);;Azerbaijani;Ə;82.9;82.9;NO;;
2022-2023;Azərbaycan Dövlət Mədəniyyət və İncəsənət Universiteti;Təsviri incəsənət müəllimliyi;;Azerbaijani;Ə;126.5;126.5;NO;;
2022-2023;Azərbaycan Dövlət Mədəniyyət və İncəsənət Universiteti;Aktyor sənəti;;Azerbaijani;Ə;112.4;87.0;NO;;
2022-2023;Azərbaycan Dövlət Mədəniyyət və İncəsənət Universiteti;Dekorativ-tətbiqi sənət (bədii xalça);;Azerbaijani;Ə;98.2;98.2;NO;;
2022-2023;Azərbaycan Dövlət Mədəniyyət və İncəsənət Universiteti;Dizayn (geyim dizaynı, interyer;;Azerbaijani;Ə;109.7;109.7;NO;;
2022-2023;Azərbaycan Dövlət Mədəniyyət və İncəsənət Universiteti;İnstrumental ifaçılıq (klassik musiqi);;Azerbaijani;Ə;144.5;61.3;NO;;
2022-2023;Azərbaycan Dövlət Mədəniyyət və İncəsənət Universiteti;İnstrumental ifaçılıq (xalq calğı);;Azerbaijani;Ə;60.0;66.4;YES;70.0;70.0
2022-2023;Azərbaycan Dövlət Mədəniyyət və İncəsənət Universiteti;Musiqişünaslıq;;Azerbaijani;Ə;60.0;;NO;;
2022-2023;Azərbaycan Dövlət Mədəniyyət və İncəsənət Universiteti;Operator sənəti;;Azerbaijani;Ə;84.3;84.3;NO;;
2022-2023;Azərbaycan Dövlət Mədəniyyət və İncəsənət Universiteti;Populyar musiqi və caz ifaçılığı;;Azerbaijani;Ə;60.0;103.9;NO;;
