2ci_qrup
year;university;major;branch;language;study_form_symbol;main_min_score;main_competition_score;has_subbakalavr;sub_min_score;sub_competition_score
2025-2026;Bakı Dövlət Universiteti;Coğrafiya müəllimliyi;;Azerbaijani;Ə;359.7;359.7;NO;;
2025-2026;Bakı Dövlət Universiteti;Sosiologiya;;Azerbaijani;Ə;345.9;345.9;NO;;
2025-2026;Bakı Dövlət Universiteti;Sosiologiya;;English;Ə;353.7;353.7;NO;;
2025-2026;Bakı Dövlət Universiteti;Beynəlxalq ticarət və logistika;;Azerbaijani;Ə;308.0;417.9;NO;;
2025-2026;Bakı Dövlət Universiteti;Biznesin idarə edilməsi;;Azerbaijani;Ə;315.1;;NO;;
2025-2026;Bakı Dövlət Universiteti;İqtisadiyyat;;Azerbaijani;Ə;242.4;442.6;NO;;
2025-2026;Bakı Dövlət Universiteti;İqtisadiyyat;;English;Ə;452.0;452.0;NO;;
2025-2026;Bakı Dövlət Universiteti;Maliyyə;;Azerbaijani;Ə;341.8;500.4;NO;;
2025-2026;Bakı Dövlət Universiteti;Maliyyə;;English;Ə;478.3;495.3;NO;;
2025-2026;Bakı Dövlət Universiteti;Menecment;;Azerbaijani;Ə;275.1;409.5;NO;;
2025-2026;Bakı Dövlət Universiteti;Coğrafiya;;Azerbaijani;Ə;324.9;324.9;NO;;
2025-2026;Bakı Dövlət Universiteti;Hidrometeorologiya;;Azerbaijani;Ə;304.5;304.5;NO;;
2025-2026;Bakı Dövlət Universiteti;Statistika;;Azerbaijani;Ə;366.6;366.6;NO;;
2025-2026;Bakı Dövlət Universiteti;Turizm işinin təşkili;;Azerbaijani;Ə;349.9;349.9;NO;;
2025-2026;Bakı Dövlət Universiteti;Turizm işinin təşkili;;English;Ə;358.7;358.7;NO;;
2025-2026;Bakı Dövlət Universiteti;Tarix və coğrafiya müəllimliyi;Qazax filialı;Azerbaijani;Ə;251.5;274.1;NO;;
2025-2026;Bakı Dövlət Universiteti;Turizm işinin təşkili;Qazax filialı;Azerbaijani;Ə;155.1;;NO;;
2025-2026;Bakı Dövlət Universiteti;Turizm işinin təşkili;Qazax filialı;Azerbaijani;Q;159.4;;NO;;
2025-2026;Azərbaycan Dövlət Neft və Sənaye Universiteti;Beynəlxalq ticarət və logistika;;Azerbaijani;Ə;315.6;417.8;NO;;
2025-2026;Azərbaycan Dövlət Neft və Sənaye Universiteti;Biznesin idarə edilməsi;;Azerbaijani;Ə;303.3;;NO;;
2025-2026;Azərbaycan Dövlət Neft və Sənaye Universiteti;Biznesin idarə edilməsi;;English;Ə;329.6;502.6;NO;;
2025-2026;Azərbaycan Dövlət Neft və Sənaye Universiteti;İqtisadiyyat;;Azerbaijani;Ə;326.6;444.2;NO;;
2025-2026;Azərbaycan Dövlət Neft və Sənaye Universiteti;İqtisadiyyat;;English;Ə;446.1;446.1;NO;;
2025-2026;Azərbaycan Dövlət Neft və Sənaye Universiteti;Marketinq;;Azerbaijani;Ə;288.6;383.2;NO;;
2025-2026;Azərbaycan Dövlət Neft və Sənaye Universiteti;Marketinq;;English;Ə;397.9;397.9;NO;;
2025-2026;Azərbaycan Dövlət Neft və Sənaye Universiteti;Menecment;;Azerbaijani;Ə;278.0;407.0;NO;;
2025-2026;Azərbaycan Dövlət Neft və Sənaye Universiteti;Menecment;;English;Ə;322.1;408.9;NO;;
2025-2026;Azərbaycan Texniki Universiteti;Beynəlxalq ticarət və logistika;;Azerbaijani;Ə;305.3;418.1;NO;;
2025-2026;Azərbaycan Texniki Universiteti;Biznesin idarə edilməsi;;Azerbaijani;Ə;287.9;;NO;;
2025-2026;Azərbaycan Texniki Universiteti;Biznesin idarə edilməsi;;English;Ə;298.7;;NO;;
2025-2026;Azərbaycan Texniki Universiteti;İqtisadiyyat;;Azerbaijani;Ə;303.4;;NO;;
2025-2026;Azərbaycan Texniki Universiteti;İqtisadiyyat;;English;Ə;289.1;;NO;;
2025-2026;Azərbaycan Texniki Universiteti;Maliyyə;;Azerbaijani;Ə;321.0;;NO;;
2025-2026;Azərbaycan Texniki Universiteti;Marketinq;;Azerbaijani;Ə;280.6;383.2;NO;;
2025-2026;Azərbaycan Texniki Universiteti;Menecment;;Azerbaijani;Ə;272.0;;NO;;
2025-2026;Azərbaycan Texniki Universiteti;Statistika;;Azerbaijani;Ə;360.6;360.6;NO;;
2025-2026;Azərbaycan Texniki Universiteti;Nəqliyyatda servis;;Azerbaijani;Ə;314.2;314.2;NO;;
2025-2026;Azərbaycan Memarlıq və İnşaat Universiteti;Davamlı inkişaf;;Azerbaijani;Ə;229.2;399.0;NO;;
2025-2026;Azərbaycan Memarlıq və İnşaat Universiteti;Biznesin idarə edilməsi;;Azerbaijani;Ə;271.3;;NO;;
2025-2026;Azərbaycan Memarlıq və İnşaat Universiteti;Biznesin idarə edilməsi;;Azerbaijani;Q;242.9;;NO;;
2025-2026;Azərbaycan Memarlıq və İnşaat Universiteti;İqtisadiyyat;;Azerbaijani;Ə;276.8;;NO;;
2025-2026;Azərbaycan Memarlıq və İnşaat Universiteti;İqtisadiyyat;;Azerbaijani;Q;200.0;;YES;96.9;
2025-2026;Azərbaycan Memarlıq və İnşaat Universiteti;Marketinq;;Azerbaijani;Ə;261.6;383.5;NO;;
2025-2026;Azərbaycan Memarlıq və İnşaat Universiteti;Marketinq;;Azerbaijani;Q;239.1;;NO;;
2025-2026;Azərbaycan Memarlıq və İnşaat Universiteti;Marketinq;;English;Ə;294.4;384.7;NO;;
2025-2026;Azərbaycan Memarlıq və İnşaat Universiteti;Menecment;;Azerbaijani;Ə;245.0;408.3;NO;;
2025-2026;Azərbaycan Memarlıq və İnşaat Universiteti;Menecment;;Azerbaijani;Q;200.0;;YES;96.3;
2025-2026;Azərbaycan Dövlət Pedaqoji Universiteti;Coğrafiya müəllimliyi;;Azerbaijani;Ə;278.2;343.5;NO;;
2025-2026;Azərbaycan Dövlət Pedaqoji Universiteti;Tarix və coğrafiya müəllimliyi;;Azerbaijani;Ə;365.2;365.2;NO;;
2025-2026;Azərbaycan Dövlət Pedaqoji Universiteti;Tarix və coğrafiya müəllimliyi;;Azerbaijani;Ə;342.3;342.3;NO;;
2025-2026;Azərbaycan Dövlət Pedaqoji Universiteti;Tarix və coğrafiya müəllimliyi;;Azerbaijani;Ə;246.9;274.5;NO;;
2025-2026;Azərbaycan Dövlət Pedaqoji Universiteti;Tarix və coğrafiya müəllimliyi;Şəki filialı;Azerbaijani;Ə;298.1;298.1;NO;;
2025-2026;Azərbaycan Dövlət Pedaqoji Universiteti;Tarix və coğrafiya müəllimliyi;;Azerbaijani;Ə;219.6;275.2;NO;;
2025-2026;Azərbaycan Dövlət Pedaqoji Universiteti;Coğrafiya müəllimliyi;Quba filialı;Azerbaijani;Ə;200.0;359.8;NO;;
2025-2026;Azərbaycan Dövlət İqtisad Universiteti;Beynəlxalq ticarət və logistika;;Azerbaijani;Ə;354.4;418.1;NO;;
2025-2026;Azərbaycan Dövlət İqtisad Universiteti;Beynəlxalq ticarət və logistika;;Azerbaijani;Ə;425.8;425.8;NO;;
2025-2026;Azərbaycan Dövlət İqtisad Universiteti;Beynəlxalq ticarət və logistika;;Azerbaijani;Q;200.0;;YES;77.8;
2025-2026;Azərbaycan Dövlət İqtisad Universiteti;Beynəlxalq ticarət və logistika;;Azerbaijani;Ə;560.8;560.8;NO;;
2025-2026;Azərbaycan Dövlət İqtisad Universiteti;Biznesin idarə edilməsi;;Turkish;Ə;324.8;577.5;NO;;
2025-2026;Azərbaycan Dövlət İqtisad Universiteti;Biznesin idarə edilməsi;;Azerbaijani;Ə;357.0;501.4;NO;;
2025-2026;Azərbaycan Dövlət İqtisad Universiteti;Biznesin idarə edilməsi;;Azerbaijani;Q;251.1;;NO;;
2025-2026;Azərbaycan Dövlət İqtisad Universiteti;Biznesin idarə edilməsi;;English;Ə;581.5;581.5;NO;;
2025-2026;Azərbaycan Dövlət İqtisad Universiteti;Dövlət və bələdiyyə idarəetməsi;;Azerbaijani;Ə;297.3;392.1;NO;;
2025-2026;Azərbaycan Dövlət İqtisad Universiteti;Dövlət və bələdiyyə idarəetməsi;;Azerbaijani;Ə;322.2;388.7;NO;;
2025-2026;Azərbaycan Dövlət İqtisad Universiteti;Dövlət və bələdiyyə idarəetməsi;;Azerbaijani;Q;200.0;;YES;90.8;
2025-2026;Azərbaycan Dövlət İqtisad Universiteti;İqtisadiyyat;;Turkish;Ə;350.6;442.1;NO;;
2025-2026;Azərbaycan Dövlət İqtisad Universiteti;İqtisadiyyat;;Azerbaijani;Ə;467.3;467.3;NO;;
2025-2026;Azərbaycan Dövlət İqtisad Universiteti;İqtisadiyyat;;Azerbaijani;Q;200.0;;YES;99.0;
2025-2026;Azərbaycan Dövlət İqtisad Universiteti;İqtisadiyyat;;English;Ə;593.8;593.8;NO;;
2025-2026;Azərbaycan Dövlət İqtisad Universiteti;Maliyyə;;Turkish;Ə;386.8;494.3;NO;;
