1ci_qrup
year;university;major;branch;language;study_form_symbol;main_min_score;main_competition_score;has_subbakalavr;sub_min_score;sub_competition_score
2023-2024;Bakı Dövlət Universiteti;Fizika müəllimliyi;;Azerbaijani;Ə;341.1;341.1;NO;;
2023-2024;Bakı Dövlət Universiteti;Fizika müəllimliyi;;English;Ə;404.1;404.1;NO;;
2023-2024;Bakı Dövlət Universiteti;İnformatika müəllimliyi;;Azerbaijani;Ə;296.8;296.8;NO;;
2023-2024;Bakı Dövlət Universiteti;Riyaziyyat müəllimliyi;;Azerbaijani;Ə;492.2;492.2;NO;;
2023-2024;Bakı Dövlət Universiteti;Riyaziyyat müəllimliyi;;English;Ə;579.3;579.3;NO;;
2023-2024;Bakı Dövlət Universiteti;Fizika;;Azerbaijani;Ə;282.8;282.8;NO;;
2023-2024;Bakı Dövlət Universiteti;Fizika;;English;Ə;322.9;;NO;;
2023-2024;Bakı Dövlət Universiteti;Geologiya;;Azerbaijani;Ə;208.1;208.1;NO;;
2023-2024;Bakı Dövlət Universiteti;Kompüter elmləri;;Azerbaijani;Ə;340.1;340.1;NO;;
2023-2024;Bakı Dövlət Universiteti;Kompüter elmləri;;Azerbaijani;Q;250.0;286.9;YES;87.2;91.0
2023-2024;Bakı Dövlət Universiteti;Kompüter elmləri;;English;Ə;290.3;426.5;NO;;
2023-2024;Bakı Dövlət Universiteti;Mexanika;;Azerbaijani;Ə;220.9;257.2;NO;;
2023-2024;Bakı Dövlət Universiteti;Riyaziyyat;;Azerbaijani;Ə;355.9;358.3;NO;;
2023-2024;Bakı Dövlət Universiteti;Riyaziyyat;;English;Ə;440.9;;NO;;
2023-2024;Bakı Dövlət Universiteti;Geologiya və geofizika mühəndisliyi;;Azerbaijani;Ə;200.0;223.1;YES;51.0;64.2
2023-2024;Bakı Dövlət Universiteti;Geologiya və geofizika mühəndisliyi;;Azerbaijani;Q;200.0;237.6;YES;69.9;69.9
2023-2024;Bakı Dövlət Universiteti;Geologiya və geofizika mühəndisliyi;;English;Ə;200.0;244.6;NO;;
2023-2024;Bakı Dövlət Universiteti;Geomatika və geodeziya mühəndisliyi;;Azerbaijani;Ə;200.0;215.0;YES;51.0;70.3
2023-2024;Bakı Dövlət Universiteti;Geomatika və geodeziya mühəndisliyi;;Azerbaijani;Q;200.0;;NO;;
2023-2024;Bakı Dövlət Universiteti;İnformasiya təhlükəsizliyi;;Azerbaijani;Ə;500.7;500.7;NO;;
2023-2024;Bakı Dövlət Universiteti;Kimya mühəndisliyi;;Azerbaijani;Ə;396.6;396.6;NO;;
2023-2024;Bakı Dövlət Universiteti;Mədən mühəndisliyi;;Azerbaijani;Ə;200.0;209.6;YES;69.6;69.6
2023-2024;Bakı Dövlət Universiteti;Meliorasiya mühəndisliyi;;Azerbaijani;Ə;233.6;233.6;NO;;
2023-2024;Bakı Dövlət Universiteti;Mühəndis fizikası;;Azerbaijani;Ə;232.4;252.2;NO;;
2023-2024;Bakı Dövlət Universiteti;Qida mühəndisliyi;;Azerbaijani;Ə;317.6;317.6;NO;;
2023-2024;Bakı Dövlət Universiteti;Torpaqşünaslıq və aqrokimya;;Azerbaijani;Ə;238.5;238.5;NO;;
2023-2024;Bakı Dövlət Universiteti;Yerquruluşu və daşınmaz əmlakın;;Azerbaijani;Ə;264.4;264.4;NO;;
2023-2024;Bakı Dövlət Universiteti;Yerquruluşu və daşınmaz əmlakın;;Azerbaijani;Q;214.6;229.1;NO;;
2023-2024;Bakı Dövlət Universiteti;Fizika müəllimliyi;Qazax filialı;Azerbaijani;Ə;200.0;;NO;;
2023-2024;Bakı Dövlət Universiteti;İnformatika müəllimliyi;Qazax filialı;Azerbaijani;Ə;200.0;;NO;;
2023-2024;Bakı Dövlət Universiteti;Riyaziyyat müəllimliyi;Qazax filialı;Azerbaijani;Ə;227.2;;YES;51.0;72.3
2023-2024;Azərbaycan Dövlət Neft və Sənaye Universiteti;Geologiya;;Azerbaijani;Ə;200.0;223.1;YES;51.0;
2023-2024;Azərbaycan Dövlət Neft və Sənaye Universiteti;Kompüter elmləri;;Azerbaijani;Ə;391.5;391.5;NO;;
2023-2024;Azərbaycan Dövlət Neft və Sənaye Universiteti;Kompüter elmləri;;English;Ə;250.0;347.8;NO;;
2023-2024;Azərbaycan Dövlət Neft və Sənaye Universiteti;Cihaz mühəndisliyi;;Azerbaijani;Ə;200.0;222.4;YES;51.0;67.0
2023-2024;Azərbaycan Dövlət Neft və Sənaye Universiteti;Cihaz mühəndisliyi;;English;Ə;306.9;306.9;NO;;
2023-2024;Azərbaycan Dövlət Neft və Sənaye Universiteti;Ekologiya mühəndisliyi;;Azerbaijani;Ə;235.5;249.0;NO;;
2023-2024;Azərbaycan Dövlət Neft və Sənaye Universiteti;Ekologiya mühəndisliyi;;English;Ə;273.6;273.6;NO;;
2023-2024;Azərbaycan Dövlət Neft və Sənaye Universiteti;Elektrik və elektronika mühəndisliyi;;Azerbaijani;Ə;255.5;255.5;NO;;
2023-2024;Azərbaycan Dövlət Neft və Sənaye Universiteti;Elektrik və elektronika mühəndisliyi;;English;Ə;393.9;393.9;NO;;
2023-2024;Azərbaycan Dövlət Neft və Sənaye Universiteti;Energetika mühəndisliyi;;Azerbaijani;Ə;236.2;236.2;NO;;
2023-2024;Azərbaycan Dövlət Neft və Sənaye Universiteti;Energetika mühəndisliyi;;English;Ə;391.8;391.8;NO;;
2023-2024;Azərbaycan Dövlət Neft və Sənaye Universiteti;Geologiya və geofizika mühəndisliyi;;Azerbaijani;Ə;200.0;200.2;YES;51.0;67.9
2023-2024;Azərbaycan Dövlət Neft və Sənaye Universiteti;Geologiya və geofizika mühəndisliyi;;English;Ə;200.0;252.5;NO;;
2023-2024;Azərbaycan Dövlət Neft və Sənaye Universiteti;Həyat fəaliyyətinin təhlükəsizliyi;;Azerbaijani;Ə;200.0;200.8;NO;;
2023-2024;Azərbaycan Dövlət Neft və Sənaye Universiteti;İnformasiya təhlükəsizliyi;;Azerbaijani;Ə;492.3;493.4;NO;;
2023-2024;Azərbaycan Dövlət Neft və Sənaye Universiteti;İnformasiya təhlükəsizliyi;;Azerbaijani;Ə;567.6;567.6;NO;;
2023-2024;Azərbaycan Dövlət Neft və Sənaye Universiteti;İnformasiya texnologiyaları;;Azerbaijani;Ə;472.9;472.9;NO;;
2023-2024;Azərbaycan Dövlət Neft və Sənaye Universiteti;İnformasiya texnologiyaları;;Azerbaijani;Ə;533.8;534.7;NO;;
2023-2024;Azərbaycan Dövlət Neft və Sənaye Universiteti;İnşaat mühəndisliyi;;Azerbaijani;Ə;270.9;275.9;NO;;
2023-2024;Azərbaycan Dövlət Neft və Sənaye Universiteti;İnşaat mühəndisliyi;;English;Ə;326.0;326.0;NO;;
2023-2024;Azərbaycan Dövlət Neft və Sənaye Universiteti;Kimya mühəndisliyi;;Azerbaijani;Ə;386.8;386.8;NO;;
2023-2024;Azərbaycan Dövlət Neft və Sənaye Universiteti;Kimya mühəndisliyi;;English;Ə;567.1;567.1;NO;;
2023-2024;Azərbaycan Dövlət Neft və Sənaye Universiteti;Kompüter mühəndisliyi;;Azerbaijani;Ə;389.1;389.1;NO;;
2023-2024;Azərbaycan Dövlət Neft və Sənaye Universiteti;Kompüter mühəndisliyi;;English;Ə;200.0;443.2;NO;;
2023-2024;Azərbaycan Dövlət Neft və Sənaye Universiteti;Logistika və nəqliyyat texnologiyaları;;Azerbaijani;Ə;300.1;300.1;NO;;
2023-2024;Azərbaycan Dövlət Neft və Sənaye Universiteti;Logistika və nəqliyyat texnologiyaları;;English;Ə;408.1;408.1;NO;;
2023-2024;Azərbaycan Dövlət Neft və Sənaye Universiteti;Maşın mühəndisliyi;;Azerbaijani;Ə;200.0;201.1;YES;51.0;58.2
2023-2024;Azərbaycan Dövlət Neft və Sənaye Universiteti;Maşın mühəndisliyi;;English;Ə;200.0;255.7;NO;;
2023-2024;Azərbaycan Dövlət Neft və Sənaye Universiteti;Materiallar mühəndisliyi;;Azerbaijani;Ə;200.0;208.0;YES;51.0;65.4
2023-2024;Azərbaycan Dövlət Neft və Sənaye Universiteti;Materiallar mühəndisliyi;;English;Ə;200.0;232.1;NO;;
2023-2024;Azərbaycan Dövlət Neft və Sənaye Universiteti;Mədən mühəndisliyi;;Azerbaijani;Ə;200.0;214.3;YES;51.0;55.4
2023-2024;Azərbaycan Dövlət Neft və Sənaye Universiteti;Mexanika mühəndisliyi;;Azerbaijani;Ə;200.0;224.0;YES;55.2;64.2
2023-2024;Azərbaycan Dövlət Neft və Sənaye Universiteti;Mexanika mühəndisliyi;;English;Ə;301.4;308.0;NO;;
2023-2024;Azərbaycan Dövlət Neft və Sənaye Universiteti;Mexatronika və robototexnika;;Azerbaijani;Ə;320.2;320.2;NO;;
2023-2024;Azərbaycan Dövlət Neft və Sənaye Universiteti;Mexatronika və robototexnika;;English;Ə;412.1;412.1;NO;;
2023-2024;Azərbaycan Dövlət Neft və Sənaye Universiteti;Mühəndis fizikası;;Azerbaijani;Ə;200.0;252.7;NO;;
2023-2024;Azərbaycan Dövlət Neft və Sənaye Universiteti;Mühəndis fizikası;;English;Ə;200.0;299.9;NO;;
2023-2024;Azərbaycan Dövlət Neft və Sənaye Universiteti;Neft-qaz mühəndisliyi;;Azerbaijani;Ə;432.6;432.6;NO;;
2023-2024;Azərbaycan Dövlət Neft və Sənaye Universiteti;Neft-qaz mühəndisliyi;;Azerbaijani;Q;200.0;380.5;YES;79.1;
2023-2024;Azərbaycan Dövlət Neft və Sənaye Universiteti;Neft-qaz mühəndisliyi;;English;Ə;578.2;578.2;NO;;
2023-2024;Azərbaycan Dövlət Neft və Sənaye Universiteti;Proseslərin avtomatlaşdırılması;;Azerbaijani;Ə;200.0;240.6;YES;74.9;74.9
2023-2024;Azərbaycan Dövlət Neft və Sənaye Universiteti;Proseslərin avtomatlaşdırılması;;English;Ə;200.0;344.3;NO;;
2023-2024;Azərbaycan Dövlət Neft və Sənaye Universiteti;Qida mühəndisliyi;;Azerbaijani;Ə;265.0;288.2;NO;;
2023-2024;Azərbaycan Dövlət Neft və Sənaye Universiteti;Qida mühəndisliyi;;English;Ə;313.0;313.0;NO;;
2023-2024;Azərbaycan Dövlət Neft və Sənaye Universiteti;Radiotexnika və telekommunikasiya;;Azerbaijani;Ə;200.0;224.5;YES;73.3;73.3
2023-2024;Azərbaycan Dövlət Neft və Sənaye Universiteti;Radiotexnika və telekommunikasiya;;English;Ə;200.0;272.5;NO;;
2023-2024;Azərbaycan Dövlət Neft və Sənaye Universiteti;Sənaye mühəndisliyi;;Azerbaijani;Ə;296.6;296.6;NO;;
2023-2024;Azərbaycan Dövlət Neft və Sənaye Universiteti;Sənaye mühəndisliyi;;English;Ə;467.8;467.8;NO;;
2023-2024;Azərbaycan Texniki Universiteti;Hərbi kompozisiya materialları;;Azerbaijani;Ə;200.0;211.1;NO;;
2023-2024;Azərbaycan Texniki Universiteti;Hərbi rabitə vasitələri mühəndisliyi;;Azerbaijani;Ə;200.0;208.4;NO;;
2023-2024;Azərbaycan Texniki Universiteti;Optotexnika mühəndisliyi;;Azerbaijani;Ə;200.0;219.0;NO;;
2023-2024;Azərbaycan Texniki Universiteti;Pirotexniki və partladıcı vasitələr;;Azerbaijani;Ə;200.0;212.7;NO;;
2023-2024;Azərbaycan Texniki Universiteti;Silah və silah sistemləri mühəndisliyi;;Azerbaijani;Ə;200.0;232.7;NO;;
2023-2024;Azərbaycan Texniki Universiteti;Kompüter elmləri;;Azerbaijani;Ə;349.9;349.9;NO;;
2023-2024;Azərbaycan Texniki Universiteti;Aerokosmik mühəndislik;;Azerbaijani;Ə;230.4;230.4;NO;;
2023-2024;Azərbaycan Texniki Universiteti;Cihaz mühəndisliyi;;Azerbaijani;Ə;200.0;222.3;YES;51.0;64.8
2023-2024;Azərbaycan Texniki Universiteti;Ekologiya mühəndisliyi;;Azerbaijani;Ə;228.1;237.7;NO;;
2023-2024;Azərbaycan Texniki Universiteti;Ekologiya mühəndisliyi;;Azerbaijani;Q;211.5;289.4;NO;;
2023-2024;Azərbaycan Texniki Universiteti;Elektrik və elektronika mühəndisliyi;;Azerbaijani;Ə;200.0;209.6;YES;76.0;91.1
2023-2024;Azərbaycan Texniki Universiteti;Elektrik və elektronika mühəndisliyi;;Azerbaijani;Q;200.0;;NO;;
2023-2024;Azərbaycan Texniki Universiteti;Elektrik və elektronika mühəndisliyi;;Azerbaijani;Ə;321.0;321.0;NO;;
2023-2024;Azərbaycan Texniki Universiteti;Energetika mühəndisliyi;;Azerbaijani;Ə;200.0;206.5;YES;71.2;71.5
2023-2024;Azərbaycan Texniki Universiteti;Energetika mühəndisliyi;;Azerbaijani;Q;200.0;;YES;87.5;87.5
2023-2024;Azərbaycan Texniki Universiteti;Həyat fəaliyyətinin təhlükəsizliyi;;Azerbaijani;Ə;200.0;207.4;NO;;
2023-2024;Azərbaycan Texniki Universiteti;İnformasiya təhlükəsizliyi;;Azerbaijani;Ə;420.2;420.2;NO;;
2023-2024;Azərbaycan Texniki Universiteti;İnformasiya təhlükəsizliyi;;Azerbaijani;Q;200.0;209.9;YES;93.6;93.7
2023-2024;Azərbaycan Texniki Universiteti;İnformasiya texnologiyaları;;Azerbaijani;Ə;373.1;373.1;NO;;
2023-2024;Azərbaycan Texniki Universiteti;İnformasiya texnologiyaları;;Azerbaijani;Q;200.0;234.8;YES;93.3;93.7
2023-2024;Azərbaycan Texniki Universiteti;Kimya mühəndisliyi;;Azerbaijani;Ə;348.1;348.1;NO;;
2023-2024;Azərbaycan Texniki Universiteti;Kompüter mühəndisliyi;;Azerbaijani;Ə;339.2;341.0;NO;;
2023-2024;Azərbaycan Texniki Universiteti;Kompüter mühəndisliyi;;Azerbaijani;Q;200.0;262.0;YES;93.7;94.3
2023-2024;Azərbaycan Texniki Universiteti;Kompüter mühəndisliyi;;English;Ə;517.6;517.6;NO;;
2023-2024;Azərbaycan Texniki Universiteti;Logistika və nəqliyyat texnologiyaları;;Azerbaijani;Ə;200.0;204.6;YES;82.0;82.0
2023-2024;Azərbaycan Texniki Universiteti;Logistika və nəqliyyat texnologiyaları;;Azerbaijani;Q;200.0;;YES;90.7;90.7
2023-2024;Azərbaycan Texniki Universiteti;Maşın mühəndisliyi;;Azerbaijani;Ə;200.0;200.6;YES;51.0;58.5
2023-2024;Azərbaycan Texniki Universiteti;Maşın mühəndisliyi;;Azerbaijani;Q;200.0;247.1;YES;73.2;73.2
2023-2024;Azərbaycan Texniki Universiteti;Materiallar mühəndisliyi;;Azerbaijani;Ə;200.0;215.3;YES;51.0;67.8
2023-2024;Azərbaycan Texniki Universiteti;Materiallar mühəndisliyi;;Azerbaijani;Q;200.0;;YES;71.1;73.5
2023-2024;Azərbaycan Texniki Universiteti;Mədən mühəndisliyi;;Azerbaijani;Ə;200.0;200.5;YES;51.0;58.7
2023-2024;Azərbaycan Texniki Universiteti;Metallurgiya mühəndisliyi;;Azerbaijani;Ə;200.0;204.2;YES;51.0;62.6
2023-2024;Azərbaycan Texniki Universiteti;Metallurgiya mühəndisliyi;;Azerbaijani;Q;200.0;;YES;51.0;65.7
2023-2024;Azərbaycan Texniki Universiteti;Mexanika mühəndisliyi;;Azerbaijani;Ə;200.0;214.4;YES;66.8;67.8
2023-2024;Azərbaycan Texniki Universiteti;Mexanika mühəndisliyi;;Azerbaijani;Q;200.0;243.3;YES;81.7;81.7
2023-2024;Azərbaycan Texniki Universiteti;Mexatronikavərobototexnika;;Azerbaijani;Ə;240.8;303.5;NO;;
2023-2024;Azərbaycan Texniki Universiteti;Mühəndis fizikası;;Azerbaijani;Ə;200.0;;NO;;
2023-2024;Azərbaycan Texniki Universiteti;Nəqliyyat mühəndisliyi;;Azerbaijani;Ə;200.0;202.4;YES;68.5;69.4
2023-2024;Azərbaycan Texniki Universiteti;Nəqliyyat mühəndisliyi;;Azerbaijani;Q;200.0;;YES;84.9;87.6
2023-2024;Azərbaycan Texniki Universiteti;Proseslərin avtomatlaşdırılması;;Azerbaijani;Ə;286.2;286.2;NO;;
2023-2024;Azərbaycan Texniki Universiteti;Proseslərin avtomatlaşdırılması;;Azerbaijani;Q;200.0;;YES;90.7;90.7
2023-2024;Azərbaycan Texniki Universiteti;Qida mühəndisliyi;;Azerbaijani;Ə;200.0;288.1;YES;79.9;
2023-2024;Azərbaycan Texniki Universiteti;Radiotexnika və telekommunikasiya;;Azerbaijani;Ə;200.0;232.0;YES;71.8;71.8
2023-2024;Azərbaycan Texniki Universiteti;Radiotexnika və telekommunikasiya;;Azerbaijani;Q;200.0;219.5;YES;92.0;92.0
2023-2024;Azərbaycan Texniki Universiteti;Radiotexnika və telekommunikasiya;;English;Ə;200.0;259.7;NO;;
2023-2024;Azərbaycan Texniki Universiteti;Sənaye mühəndisliyi;;Azerbaijani;Ə;200.0;275.4;NO;;
2023-2024;Azərbaycan Memarlıq və İnşaat Universiteti;Ekologiya mühəndisliyi;;Azerbaijani;Q;212.8;;NO;;
2023-2024;Azərbaycan Memarlıq və İnşaat Universiteti;Ekologiya mühəndisliyi;;English;Ə;249.5;290.3;NO;;
2023-2024;Azərbaycan Memarlıq və İnşaat Universiteti;Ekologiya mühəndisliyi;;Azerbaijani;Ə;226.1;227.5;NO;;
2023-2024;Azərbaycan Memarlıq və İnşaat Universiteti;Elektrik və elektronika mühəndisliyi;;Azerbaijani;Ə;200.0;210.5;YES;70.3;
2023-2024;Azərbaycan Memarlıq və İnşaat Universiteti;Geomatika və geodeziya mühəndisliyi;;Azerbaijani;Ə;200.0;202.6;YES;51.0;73.2
2023-2024;Azərbaycan Memarlıq və İnşaat Universiteti;Geomatika və geodeziya mühəndisliyi;;Azerbaijani;Q;200.0;;NO;;
2023-2024;Azərbaycan Memarlıq və İnşaat Universiteti;Həyat fəaliyyətinin təhlükəsizliyi;;Azerbaijani;Ə;200.0;221.8;NO;;
2023-2024;Azərbaycan Memarlıq və İnşaat Universiteti;İnformasiya təhlükəsizliyi;;Azerbaijani;Ə;381.2;381.2;NO;;
2023-2024;Azərbaycan Memarlıq və İnşaat Universiteti;İnformasiya texnologiyaları;;Azerbaijani;Ə;320.4;320.4;NO;;
