1ci_qrup
year;university;major;branch;language;study_form_symbol;main_min_score;main_competition_score;has_subbakalavr;sub_min_score;sub_competition_score
2022-2023;Bakı Dövlət Universiteti;Fizika müəllimliyi;;Azerbaijani;Ə;389.2;389.2;NO;;
2022-2023;Bakı Dövlət Universiteti;Fizika müəllimliyi;;English;Ə;419.8;419.8;NO;;
2022-2023;Bakı Dövlət Universiteti;İnformatika müəllimliyi;;Azerbaijani;Ə;344.4;348.3;NO;;
2022-2023;Bakı Dövlət Universiteti;Riyaziyyat müəllimliyi;;Azerbaijani;Ə;537.8;537.8;NO;;
2022-2023;Bakı Dövlət Universiteti;Riyaziyyat müəllimliyi ;;English;Ə;619.1;619.1;NO;;
2022-2023;Bakı Dövlət Universiteti;Fizika;;Azerbaijani;Ə;328.4;328.4;NO;;
2022-2023;Bakı Dövlət Universiteti;Fizika;;English;Ə;336.4;;NO;;
2022-2023;Bakı Dövlət Universiteti;Geologiya;;Azerbaijani;Ə;256.2;256.2;NO;;
2022-2023;Bakı Dövlət Universiteti;Kompüter elmləri;;Azerbaijani;Ə;489.6;489.6;NO;;
2022-2023;Bakı Dövlət Universiteti;Kompüter elmləri;;Azerbaijani;Q;250.0;480.5;YES;77.0;
2022-2023;Bakı Dövlət Universiteti;Kompüter elmləri;;English;Ə;591.2;591.2;NO;;
2022-2023;Bakı Dövlət Universiteti;Mexanika;;Azerbaijani;Ə;219.8;303.4;NO;;
2022-2023;Bakı Dövlət Universiteti;Riyaziyyat;;Azerbaijani;Ə;375.8;375.8;NO;;
2022-2023;Bakı Dövlət Universiteti;Riyaziyyat;;English;Ə;431.4;;NO;;
2022-2023;Bakı Dövlət Universiteti;Geologiya və geofizika mühəndisliyi;;Azerbaijani;Ə;267.7;267.7;NO;;
2022-2023;Bakı Dövlət Universiteti;Geologiya və geofizika mühəndisliyi;;Azerbaijani;Q;200.0;291.9;YES;67.7;
2022-2023;Bakı Dövlət Universiteti;Geologiya və geofizika mühəndisliyi;;Azerbaijani;Ə;200.0;262.5;NO;;
2022-2023;Bakı Dövlət Universiteti;Geomatika və geodeziya mühəndisliyi;;Azerbaijani;Ə;251.6;251.6;NO;;
2022-2023;Bakı Dövlət Universiteti;Geomatika və geodeziya mühəndisliyi;;Azerbaijani;Q;200.0;;NO;;
2022-2023;Bakı Dövlət Universiteti;İnformasiya təhlükəsizliyi;;Azerbaijani;Ə;545.8;545.8;NO;;
2022-2023;Bakı Dövlət Universiteti;Kimya mühəndisliyi;;Azerbaijani;Ə;413.3;413.3;NO;;
2022-2023;Bakı Dövlət Universiteti;Mədən mühəndisliyi;;Azerbaijani;Ə;200.0;264.3;YES;51.0;
2022-2023;Bakı Dövlət Universiteti;Mühəndis fizikası;;Azerbaijani;Ə;273.2;273.2;NO;;
2022-2023;Bakı Dövlət Universiteti;Qida mühəndisliyi;;Azerbaijani;Ə;327.8;327.8;NO;;
2022-2023;Bakı Dövlət Universiteti;Torpaqşünaslıq və aqrokimya;;Azerbaijani;Ə;266.2;266.2;NO;;
2022-2023;Bakı Dövlət Universiteti;Torpaqşünaslıq və aqrokimya;;Azerbaijani;Q;228.4;229.7;NO;;
2022-2023;Bakı Dövlət Universiteti;Yerquruluşu və daşınmaz əmlakın;;Azerbaijani;Ə;303.4;303.4;NO;;
2022-2023;Bakı Dövlət Universiteti;Yerquruluşu və daşınmaz əmlakın;;Azerbaijani;Q;226.3;257.6;NO;;
2022-2023;Bakı Dövlət Universiteti;Fizika müəllimliyi;Qazax filialı;Azerbaijani;Ə;215.1;;NO;;
2022-2023;Bakı Dövlət Universiteti;İnformatika müəllimliyi;Qazax filialı;Azerbaijani;Ə;203.1;;NO;;
2022-2023;Bakı Dövlət Universiteti;Riyaziyyat müəllimliyi;Qazax filialı;Azerbaijani;Ə;244.0;;NO;;
2022-2023;Bakı Dövlət Universiteti;Riyaziyyat və informatika müəllimliyi;;Azerbaijani;Ə;291.3;396.3;NO;;
2022-2023;Azərbaycan Dövlət Neft və Sənaye Universiteti;Geologiya;;Azerbaijani;Ə;267.5;267.5;NO;;
2022-2023;Azərbaycan Dövlət Neft və Sənaye Universiteti;Kompüter elmləri;;Azerbaijani;Ə;534.3;534.3;NO;;
2022-2023;Azərbaycan Dövlət Neft və Sənaye Universiteti;Kompüter elmləri;;English;Ə;624.7;624.7;NO;;
2022-2023;Azərbaycan Dövlət Neft və Sənaye Universiteti;Cihaz mühəndisliyi;;Azerbaijani;Ə;292.9;292.9;NO;;
2022-2023;Azərbaycan Dövlət Neft və Sənaye Universiteti;Cihaz mühəndisliyi;;English;Ə;320.0;320.3;NO;;
2022-2023;Azərbaycan Dövlət Neft və Sənaye Universiteti;Ekologiya mühəndisliyi;;Azerbaijani;Ə;271.5;271.5;NO;;
2022-2023;Azərbaycan Dövlət Neft və Sənaye Universiteti;Ekologiya mühəndisliyi;;English;Ə;278.4;278.4;NO;;
2022-2023;Azərbaycan Dövlət Neft və Sənaye Universiteti;Elektrik və elektronika mühəndisliyi;;Azerbaijani;Ə;329.5;329.5;NO;;
2022-2023;Azərbaycan Dövlət Neft və Sənaye Universiteti;Elektrik və elektronika mühəndisliyi;;Azerbaijani;Ə;395.7;395.7;NO;;
2022-2023;Azərbaycan Dövlət Neft və Sənaye Universiteti;Energetika mühəndisliyi;;Azerbaijani;Ə;309.1;309.1;NO;;
2022-2023;Azərbaycan Dövlət Neft və Sənaye Universiteti;Energetika mühəndisliyi;;English;Ə;396.5;396.5;NO;;
2022-2023;Azərbaycan Dövlət Neft və Sənaye Universiteti;Geologiya və geofizika mühəndisliyi;;Azerbaijani;Ə;263.0;263.0;NO;;
2022-2023;Azərbaycan Dövlət Neft və Sənaye Universiteti;Geologiya və geofizika mühəndisliyi;;Azerbaijani;Ə;255.3;262.7;NO;;
