4cu_qrup
year;university;major;branch;language;study_form_symbol;main_min_score;main_competition_score;has_subbakalavr;sub_min_score;sub_competition_score
2022-2023;Bakı Dövlət Universiteti;Biologiya müəllimliyi;;Azerbaijani;Ə;394.1;394.7;NO;;
2022-2023;Bakı Dövlət Universiteti;Kimya müəllimliyi;;Azerbaijani;Ə;405.7;405.7;NO;;
2022-2023;Bakı Dövlət Universiteti;Psixologiya;;Azerbaijani;Ə;504.0;504.0;NO;;
2022-2023;Bakı Dövlət Universiteti;Psixologiya;;Azerbaijani;Q;359.7;395.2;NO;;
2022-2023;Bakı Dövlət Universiteti;Psixologiya;;English;Ə;546.9;;NO;;
2022-2023;Bakı Dövlət Universiteti;Biologiya;;Azerbaijani;Ə;452.2;452.2;NO;;
2022-2023;Bakı Dövlət Universiteti;Biologiya;;Azerbaijani;Q;316.1;334.5;NO;;
2022-2023;Bakı Dövlət Universiteti;Biotexnologiya;;Azerbaijani;Ə;520.8;522.9;NO;;
2022-2023;Bakı Dövlət Universiteti;Ekologiya;;Azerbaijani;Ə;289.2;289.2;NO;;
2022-2023;Bakı Dövlət Universiteti;Ekologiya;;Azerbaijani;Q;219.3;222.8;NO;;
2022-2023;Bakı Dövlət Universiteti;Ekologiya;;English;Ə;361.4;;NO;;
2022-2023;Bakı Dövlət Universiteti;Kimya;;Azerbaijani;Ə;446.2;446.2;NO;;
2022-2023;Bakı Dövlət Universiteti;Kimya;;English;Ə;518.6;;NO;;
2022-2023;Bakı Dövlət Universiteti;Bitki mühafizəsi;;Azerbaijani;Ə;242.7;242.7;NO;;
2022-2023;Bakı Dövlət Universiteti;Su bioehtiyatları və akvakultura;;Azerbaijani;Ə;245.6;245.6;NO;;
2022-2023;Bakı Dövlət Universiteti;Kimya və biologiya müəllimliyi;;Azerbaijani;Ə;200.0;373.1;NO;;
2022-2023;Azərbaycan Tibb Universiteti;Əczaçılıq;;Azerbaijani;Ə;547.1;547.1;NO;;
2022-2023;Azərbaycan Tibb Universiteti;Fizioterapiya və tibbi reabilitasiya;;Azerbaijani;Ə;569.8;579.4;NO;;
2022-2023;Azərbaycan Tibb Universiteti;Tibb bacısı işi;;Azerbaijani;Ə;505.9;512.8;NO;;
2022-2023;Azərbaycan Tibb Universiteti;İctimai səhiyyə;;Azerbaijani;Ə;563.7;563.7;NO;;
2022-2023;Azərbaycan Tibb Universiteti;Stomatologiya;;Azerbaijani;Ə;596.2;596.2;NO;;
2022-2023;Azərbaycan Tibb Universiteti;Tibb;;Azerbaijani;Ə;585.9;610.6;NO;;
2022-2023;Azərbaycan Tibb Universiteti;Tibb;;English;Ə;672.2;;NO;;
2022-2023;Azərbaycan Dövlət Pedaqoji Universiteti;Biologiya müəllimliyi;;Azerbaijani;Ə;303.6;359.1;NO;;
2022-2023;Azərbaycan Dövlət Pedaqoji Universiteti;Kimya müəllimliyi;;Azerbaijani;Ə;307.4;382.4;NO;;
2022-2023;Azərbaycan Dövlət Pedaqoji Universiteti;Kimya və biologiya müəllimliyi;;Azerbaijani;Ə;388.5;388.5;NO;;
2022-2023;Azərbaycan Dövlət İqtisad Universiteti;Ekologiya;;Azerbaijani;Ə;273.3;273.3;NO;;
2022-2023;Azərbaycan Dövlət İqtisad Universiteti;Ekologiya;;Azerbaijani;Q;211.0;235.0;NO;;
2022-2023;Bakı Slavyan Universiteti;Psixologiya;;Azerbaijani;Ə;468.2;468.2;NO;;
2022-2023;Azərbaycan Dövlət Bədən Tərbiyəsi və İdman Akademiyası;Bədən tərbiyəsi və idmanda;;Azerbaijani;Ə;337.3;349.8;NO;;
2022-2023;Naxçıvan Dövlət Universiteti;Biologiya müəllimliyi;;Azerbaijani;Ə;221.3;374.2;NO;;
2022-2023;Naxçıvan Dövlət Universiteti;Kimya müəllimliyi;;Azerbaijani;Ə;200.0;387.5;NO;;
2022-2023;Naxçıvan Dövlət Universiteti;Psixologiya;;Azerbaijani;Ə;446.3;446.3;NO;;
2022-2023;Naxçıvan Dövlət Universiteti;Biologiya;;Azerbaijani;Ə;200.0;378.0;YES;93.4;
2022-2023;Naxçıvan Dövlət Universiteti;Biologiya;;Azerbaijani;Q;200.0;;YES;94.3;
2022-2023;Naxçıvan Dövlət Universiteti;Kimya;;Azerbaijani;Ə;200.0;280.8;NO;;
2022-2023;Naxçıvan Dövlət Universiteti;Baytarlıq təbabəti;;Azerbaijani;Ə;150.0;151.1;YES;82.5;82.5
2022-2023;Naxçıvan Dövlət Universiteti;Əczaçılıq;;Azerbaijani;Ə;532.0;532.0;NO;;
