2ci_qrup
year;university;major;branch;language;study_form_symbol;main_min_score;main_competition_score;has_subbakalavr;sub_min_score;sub_competition_score
2024-2025;Bakı Dövlət Universiteti;Coğrafiya müəllimliyi;;Azerbaijani;Ə;342.3;342.3;NO;;
2024-2025;Bakı Dövlət Universiteti;Sosiologiya;;Azerbaijani;Ə;331.1;331.1;NO;;
2024-2025;Bakı Dövlət Universiteti;Sosiologiya;;English;Ə;337.2;337.2;NO;;
2024-2025;Bakı Dövlət Universiteti;Beynəlxalq ticarət və logistika;;Azerbaijani;Ə;293.8;396.1;NO;;
2024-2025;Bakı Dövlət Universiteti;Biznesin idarə edilməsi;;Azerbaijani;Ə;307.4;506.6;NO;;
2024-2025;Bakı Dövlət Universiteti;Davamlı inkişafın idarə edilməsi;;Azerbaijani;Ə;305.8;360.0;NO;;
2024-2025;Bakı Dövlət Universiteti;İqtisadiyyat;;Azerbaijani;Ə;393.7;407.4;NO;;
2024-2025;Bakı Dövlət Universiteti;İqtisadiyyat;;Azerbaijani;Q;200.0;;YES;93.9;
2024-2025;Bakı Dövlət Universiteti;İqtisadiyyat;;English;Ə;429.5;429.5;NO;;
2024-2025;Bakı Dövlət Universiteti;Maliyyə;;Azerbaijani;Ə;353.5;459.0;NO;;
2024-2025;Bakı Dövlət Universiteti;Maliyyə;;English;Ə;459.9;459.9;NO;;
2024-2025;Bakı Dövlət Universiteti;Menecment”;;Azerbaijani;Ə;270.8;390.9;NO;;
2024-2025;Bakı Dövlət Universiteti;Menecment;;Azerbaijani;Q;200.0;;YES;90.8;
2024-2025;Bakı Dövlət Universiteti;Statistika;;Azerbaijani;Ə;341.6;341.6;NO;;
2024-2025;Bakı Dövlət Universiteti;Coğrafiya;;Azerbaijani;Ə;306.7;306.7;NO;;
2024-2025;Bakı Dövlət Universiteti;Hidrometeorologiya;;Azerbaijani;Ə;200.0;298.6;NO;;
2024-2025;Bakı Dövlət Universiteti;Turizm işinin təşkili;;Azerbaijani;Ə;331.6;331.6;NO;;
2024-2025;Bakı Dövlət Universiteti;Turizm işinin təşkili (tədris ingilis;;English;Ə;341.6;341.6;NO;;
