5ci_qrup
year;university;major;branch;language;study_form_symbol;main_min_score;main_competition_score;has_subbakalavr;sub_min_score;sub_competition_score
2023-2024;Bakı Dövlət Universiteti;Fiziki tərbiyə və çağırışaqədərki hazırlıq müəllimliyi;Qazax filialı;Azerbaijani;Ə;108.9;141.3;NO;;
2023-2024;Azərbaycan Memarlıq və İnşaat Universiteti;Dizayn (sahələr üzrə);;Azerbaijani;Ə;118.8;167.7;NO;;
2023-2024;Azərbaycan Memarlıq və İnşaat Universiteti;Dizayn (sahələr üzrə, tədris ingilis dilində);;English;Ə;178.5;178.5;NO;;
2023-2024;Azərbaycan Dövlət Pedaqoji Universiteti;Fiziki tərbiyə və çağırışaqədərki hazırlıq müəllimliyi;;Azerbaijani;Ə;112.9;142.7;NO;;
2023-2024;Azərbaycan Dövlət Pedaqoji Universiteti;Musiqi müəllimliyi (fortepiano, violin, klarnet, tar, kamança, qanun, saz, balaban, qarmon, vokal);;Azerbaijani;Ə;60.0;96.6;YES;72.9;
2023-2024;Azərbaycan Dövlət Pedaqoji Universiteti;Təsviri incəsənət müəllimliyi;;Azerbaijani;Ə;92.6;124.6;NO;;
2023-2024;Azərbaycan Dövlət İqtisad Universiteti;Dizayn (sahələr üzrə);;Azerbaijani;Ə;169.2;195.0;NO;;
2023-2024;Bakı Mühəndislik Universiteti;Dizayn (sahələr üzrə);;Azerbaijani;Ə;166.5;195.5;NO;;
2023-2024;Bakı Musiqi Akademiyası;Musiqi müəllimliyi (fortepiano, violin, viola, violonçel, kontrabas, arfa, fleyta, qoboy, klarnet, saksofon, faqot, valtoma, truba, trombon, tuba, zərb alətləri);;Azerbaijani;Ə;102.0;102.0;NO;;
2023-2024;Bakı Musiqi Akademiyası;Bəstəkarlıq;;Azerbaijani;Ə;60.0;191.3;NO;;
2023-2024;Bakı Musiqi Akademiyası;Dirijorluq (simfonik orkestr dirijorluğu, xor dirijorluğu, nəfəs alətləri orkestrinin dirijorluğu);;Azerbaijani;Ə;60.0;123.6;YES;51.0;85.7
2023-2024;Bakı Musiqi Akademiyası;İnstrumental ifaçılıq (fortepiano, orqan, klavesin, violin, viola, violonçel, kontrabas, arfa, fleyta, qoboy, klarnet, saksofon, faqot, valtoma, truba, trombon, tuba, zərb alətləri);;Azerbaijani;Ə;106.4;91.3;NO;;
2023-2024;Bakı Musiqi Akademiyası;Musiqişünaslıq;;Azerbaijani;Ə;129.0;129.0;NO;;
2023-2024;Bakı Musiqi Akademiyası;Populyar musiqi və caz ifaçılığı (fortepiano, kontrabas, saksofon, truba, zərb alətləri, vokal);;Azerbaijani;Ə;187.9;187.9;NO;;
2023-2024;Bakı Musiqi Akademiyası;Vokal sənəti (akademik vokal);;Azerbaijani;Ə;122.5;66.8;NO;;
2023-2024;Bakı Musiqi Akademiyası;Musiqi müəllimliyi (fortepiano, tar, kamança, qanun, saz, balaban, qarmon);;Azerbaijani;Ə;67.2;95.3;NO;;
2023-2024;Bakı Musiqi Akademiyası;Bəstəkarlıq;;Azerbaijani;Ə;60.0;;NO;;
2023-2024;Bakı Musiqi Akademiyası;Dirijorluq (xalq çalğı alətləri orkestrinin dirijorluğu, xor dirijorluğu);;Azerbaijani;Ə;60.0;95.7;YES;51.0;3.6
