3cu_qrup
year;university;major;branch;language;study_form_symbol;main_min_score;main_competition_score;has_subbakalavr;sub_min_score;sub_competition_score
2023-2024;Bakı Dövlət Universiteti;Azərbaycan dili və ədəbiyyatı;;Azerbaijani;Ə;510.6;510.6;NO;;
2023-2024;Bakı Dövlət Universiteti;Korreksiyaedici təlim;;Azerbaijani;Ə;342.9;384.8;NO;;
2023-2024;Bakı Dövlət Universiteti;Tarix müəllimliyi;;Azerbaijani;Ə;460.2;460.2;NO;;
2023-2024;Bakı Dövlət Universiteti;Təhsildə sosial-psixoloji xidmət;;Azerbaijani;Ə;419.1;419.1;NO;;
2023-2024;Bakı Dövlət Universiteti;Beynəlxalq münasibətlər;;Azerbaijani;Ə;361.5;431.7;NO;;
2023-2024;Bakı Dövlət Universiteti;Beynəlxalq münasibətlər;;English;Ə;446.2;446.2;NO;;
2023-2024;Bakı Dövlət Universiteti;Dövlət və ictimai münasibətlər;;Azerbaijani;Ə;480.6;572.5;NO;;
2023-2024;Bakı Dövlət Universiteti;Dövlət və ictimai münasibətlər;;Azerbaijani;Q;392.7;;NO;;
2023-2024;Bakı Dövlət Universiteti;Dövlət və ictimai münasibətlər;;Azerbaijani;Ə;574.5;574.5;NO;;
2023-2024;Bakı Dövlət Universiteti;Fəlsəfə;;Azerbaijani;Ə;374.8;374.8;NO;;
2023-2024;Bakı Dövlət Universiteti;Filologiya (Azərbaycan dili və ədəbiyyatı);;Azerbaijani;Ə;389.7;455.2;NO;;
2023-2024;Bakı Dövlət Universiteti;Filologiya (Azərbaycan dili və ədəbiyyatı);;Azerbaijani;Q;318.2;;NO;;
2023-2024;Bakı Dövlət Universiteti;Filologiya (ingilis dili və ədəbiyyatı);;Azerbaijani;Ə;466.1;;NO;;
2023-2024;Bakı Dövlət Universiteti;Filologiya (fransız dili və ədəbiyyatı);;Azerbaijani;Ə;312.4;;NO;;
2023-2024;Bakı Dövlət Universiteti;Filologiya (alman dili və ədəbiyyatı);;Azerbaijani;Ə;333.1;;NO;;
2023-2024;Bakı Dövlət Universiteti;Filologiya (ərəb dili və ədəbiyyatı);;Azerbaijani;Ə;277.2;;NO;;
2023-2024;Bakı Dövlət Universiteti;Filologiya (türk dili və ədəbiyyatı);;Azerbaijani;Ə;296.0;;NO;;
2023-2024;Bakı Dövlət Universiteti;Filologiya (fars dili və ədəbiyyatı);;Azerbaijani;Ə;230.6;;NO;;
2023-2024;Bakı Dövlət Universiteti;Hüquqşünaslıq;;Azerbaijani;Ə;556.3;586.5;NO;;
2023-2024;Bakı Dövlət Universiteti;Hüquqşünaslıq;;Azerbaijani;Q;505.4;612.8;NO;;
2023-2024;Bakı Dövlət Universiteti;Hüquqşünaslıq;;English;Ə;630.3;;NO;;
2023-2024;Bakı Dövlət Universiteti;Kitabxanaçılıq və informasiya;;Azerbaijani;Ə;247.3;360.5;NO;;
2023-2024;Bakı Dövlət Universiteti;Kitabxanaçılıq və informasiya;;Azerbaijani;Q;249.6;362.2;NO;;
2023-2024;Bakı Dövlət Universiteti;Kitabxanaçılıq və informasiya;;English;Ə;200.0;360.5;NO;;
2023-2024;Bakı Dövlət Universiteti;Politologiya;;Azerbaijani;Ə;433.2;474.9;NO;;
2023-2024;Bakı Dövlət Universiteti;Regionşünaslıq (ərəb ölkələri üzrə);;Azerbaijani;Ə;223.7;;NO;;
2023-2024;Bakı Dövlət Universiteti;Regionşünaslıq (Türkiyə üzrə);;Azerbaijani;Ə;293.5;;NO;;
2023-2024;Bakı Dövlət Universiteti;Regionşünaslıq (İran üzrə);;Azerbaijani;Ə;198.0;;NO;;
2023-2024;Bakı Dövlət Universiteti;Regionşünaslıq (Yaponiya üzrə);;Azerbaijani;Ə;275.1;;NO;;
2023-2024;Bakı Dövlət Universiteti;Regionşünaslıq (İsrail üzrə);;Azerbaijani;Ə;263.6;;NO;;
2023-2024;Bakı Dövlət Universiteti;Regionşünaslıq (Pakistan üzrə);;Azerbaijani;Ə;214.0;;NO;;
2023-2024;Bakı Dövlət Universiteti;Regionşünaslıq (Koreya üzrə);;Azerbaijani;Ə;333.5;;NO;;
2023-2024;Bakı Dövlət Universiteti;Regionşünaslıq (Amerika üzrə);;Azerbaijani;Ə;318.8;;NO;;
2023-2024;Bakı Dövlət Universiteti;Regionşünaslıq (Qafqaz üzrə);;Azerbaijani;Ə;237.7;;NO;;
2023-2024;Bakı Dövlət Universiteti;Regionşünaslıq (Amerika üzrə);;Azerbaijani;Ə;368.5;368.5;NO;;
2023-2024;Bakı Dövlət Universiteti;Tarix;;Azerbaijani;Ə;433.4;448.3;NO;;
2023-2024;Bakı Dövlət Universiteti;Tarix;;Azerbaijani;Q;337.6;449.3;NO;;
2023-2024;Bakı Dövlət Universiteti;Tarix;;English;Ə;506.6;;NO;;
2023-2024;Bakı Dövlət Universiteti;Tərcümə (ərəb dili üzrə);;Azerbaijani;Ə;291.1;;NO;;
