5ci_qrup
year;university;major;branch;language;study_form_symbol;main_min_score;main_competition_score;has_subbakalavr;sub_min_score;sub_competition_score
2025-2026;Bakı Dövlət Universiteti;Fiziki tərbiyə və çağınşaqədərki;;Azerbaijani;Ə;126.8;176.4;NO;;
2025-2026;Azərbaycan Memarlıq və İnşaat Universiteti;Dizayn (interyer dizayn);;Azerbaijani;Ə;126.6;126.6;YES;92.4;
2025-2026;Azərbaycan Memarlıq və İnşaat Universiteti;Dizayn (interyer dizayn);;English;Ə;198.7;198.7;NO;;
2025-2026;Azərbaycan Dövlət Pedaqoji Universiteti;Fiziki tərbiyə və çağınşaqədərki;;Azerbaijani;Ə;135.5;160.4;NO;;
2025-2026;Azərbaycan Dövlət Pedaqoji Universiteti;Musiqi müəllimliyi (fortepiano);;Azerbaijani;Ə;100.5;108.9;NO;;
2025-2026;Azərbaycan Dövlət Pedaqoji Universiteti;Təsviri incəsənət müəllimliyi;;Azerbaijani;Ə;145.1;154.5;NO;;
2025-2026;Azərbaycan Dövlət İqtisad Universiteti;Dizayn;;Azerbaijani;Ə;203.6;236.9;NO;;
2025-2026;Bakı Mühəndislik Universiteti;Dizayn (sənaye dizaynı);;Azerbaijani;Ə;187.9;;NO;;
2025-2026;Bakı Mühəndislik Universiteti;Dizayn (sənaye dizaynı);;English;Ə;228.0;239.4;NO;;
2025-2026;İtaliya-Azərbaycan Universiteti;Dizayn;layihə ADA Universiteti tərəfindən həyata keçirilir;English;Ə;243.9;243.9;NO;;
2025-2026;Bakı Musiqi Akademiyası;Musiqi müəllimliyi (fortepiano);;Azerbaijani;Ə;117.8;117.8;NO;;
2025-2026;Bakı Musiqi Akademiyası;Bəstəkarlıq;;Azerbaijani;Ə;114.8;114.8;NO;;
2025-2026;Bakı Musiqi Akademiyası;Dirijorluq (xor dirijorluğu);;Azerbaijani;Ə;60.0;60.0;YES;51.0;80.0
2025-2026;Bakı Musiqi Akademiyası;İnstrumental ifaçılıq (fortepiano);;Azerbaijani;Ə;60.0;179.6;YES;51.0;
2025-2026;Bakı Musiqi Akademiyası;Musiqişünaslıq;;Azerbaijani;Ə;94.1;94.1;NO;;
2025-2026;Bakı Musiqi Akademiyası;Populyar musiqi və caz ifaçılığı;;Azerbaijani;Ə;143.0;143.0;NO;;
2025-2026;Bakı Musiqi Akademiyası;Vokal sənəti (akademik vokal);;Azerbaijani;Ə;60.0;119.2;NO;;
2025-2026;Bakı Musiqi Akademiyası;Musiqi müəllimliyi (fortepiano);;Azerbaijani;Ə;121.3;121.3;NO;;
2025-2026;Bakı Musiqi Akademiyası;Bəstəkarlıq;;Azerbaijani;Ə;98.4;98.4;NO;;
2025-2026;Bakı Musiqi Akademiyası;Dirijorluq (xalq çalğı alətləri);;Azerbaijani;Ə;60.0;;YES;51.0;79.3
2025-2026;Bakı Musiqi Akademiyası;İnstrumental ifaçılıq (tar, kamança);;Azerbaijani;Ə;60.0;60.0;YES;51.0;72.9
2025-2026;Bakı Musiqi Akademiyası;Musiqişünaslıq;;Azerbaijani;Ə;60.0;102.9;NO;;
2025-2026;Bakı Musiqi Akademiyası;Populyar musiqi və caz ifaçılığı;;Azerbaijani;Ə;60.0;75.2;NO;;
2025-2026;Bakı Musiqi Akademiyası;Vokal sənəti (xanəndəlik);;Azerbaijani;Ə;121.6;162.6;YES;2.1;72.7
2025-2026;Bakı Musiqi Akademiyası;Vokal sənəti (milli vokal);;Azerbaijani;Ə;60.0;147.9;YES;75.4;75.6
2025-2026;Azərbaycan Dövlət Mədəniyyət və İncəsənət Universiteti;Musiqi müəllimliyi (fortepiano);;Azerbaijani;Ə;115.7;115.7;NO;;
2025-2026;Azərbaycan Dövlət Mədəniyyət və İncəsənət Universiteti;Təsviri incəsənət müəllimliyi;;Azerbaijani;Ə;166.8;166.8;NO;;
2025-2026;Azərbaycan Dövlət Mədəniyyət və İncəsənət Universiteti;Aktyor sənəti;;Azerbaijani;Ə;178.8;178.8;NO;;
2025-2026;Azərbaycan Dövlət Mədəniyyət və İncəsənət Universiteti;Aktyor sənəti;;Azerbaijani;Ə;60.0;63.9;NO;;
2025-2026;Azərbaycan Dövlət Mədəniyyət və İncəsənət Universiteti;Aktyor sənəti;;Azerbaijani;Q;60.0;;NO;;
2025-2026;Azərbaycan Dövlət Mədəniyyət və İncəsənət Universiteti;Dekorativ-tətbiqi sənət (bədii xalça);;Azerbaijani;Ə;60.0;60.0;NO;;
2025-2026;Azərbaycan Dövlət Mədəniyyət və İncəsənət Universiteti;Dizayn (geyim dizaynı);;Azerbaijani;Ə;134.0;111.3;NO;;
2025-2026;Azərbaycan Dövlət Mədəniyyət və İncəsənət Universiteti;İnstrumental ifaçılıq (tar, kamança);;Azerbaijani;Ə;60.0;60.0;YES;73.8;73.8
2025-2026;Azərbaycan Dövlət Mədəniyyət və İncəsənət Universiteti;İnstrumental ifaçılıq (fortepiano);;Azerbaijani;Ə;124.4;124.4;NO;;
2025-2026;Azərbaycan Dövlət Mədəniyyət və İncəsənət Universiteti;Musiqişünaslıq;;Azerbaijani;Ə;123.7;123.7;NO;;
2025-2026;Azərbaycan Dövlət Mədəniyyət və İncəsənət Universiteti;Operator sənəti;;Azerbaijani;Ə;104.3;104.3;NO;;
2025-2026;Azərbaycan Dövlət Mədəniyyət və İncəsənət Universiteti;Operator sənəti;;Azerbaijani;Q;60.0;;NO;;
2025-2026;Azərbaycan Dövlət Mədəniyyət və İncəsənət Universiteti;Populyar musiqi və caz ifaçılığı;;Azerbaijani;Ə;60.0;164.9;NO;;
2025-2026;Azərbaycan Dövlət Mədəniyyət və İncəsənət Universiteti;Qrafika (sahələr üzrə);;Azerbaijani;Ə;100.1;131.1;NO;;
2025-2026;Azərbaycan Dövlət Mədəniyyət və İncəsənət Universiteti;Rejissorluq (sahələr üzrə);;Azerbaijani;Ə;120.0;143.0;NO;;
2025-2026;Azərbaycan Dövlət Mədəniyyət və İncəsənət Universiteti;Rəngkarlıq (sahələr üzrə);;Azerbaijani;Ə;60.0;168.1;YES;6.0;83.1
2025-2026;Azərbaycan Dövlət Mədəniyyət və İncəsənət Universiteti;Vokal sənəti (xanəndəlik);;Azerbaijani;Ə;62.8;175.6;YES;79.5;79.5
2025-2026;Azərbaycan Dövlət Rəssamlıq Akademiyası;Təsviri incəsənət müəllimliyi;;Azerbaijani;Ə;172.8;172.8;NO;;
