1ci_qrup
year;university;major;branch;language;study_form_symbol;main_min_score;main_competition_score;has_subbakalavr;sub_min_score;sub_competition_score
2025-2026;Bakı Dövlət Universiteti;Fizika müəllimliyi;;Azerbaijani;Ə;348.1;365.4;NO;;
2025-2026;Bakı Dövlət Universiteti;Fizika müəllimliyi;;English;Ə;407.6;407.6;NO;;
2025-2026;Bakı Dövlət Universiteti;İnformatika;;Azerbaijani;Ə;325.6;325.6;NO;;
2025-2026;Bakı Dövlət Universiteti;Riyaziyyat müəllimliyi;;Azerbaijani;Ə;522.2;522.2;NO;;
2025-2026;Bakı Dövlət Universiteti;Riyaziyyat müəllimliyi;;English;Ə;597.5;597.5;NO;;
2025-2026;Bakı Dövlət Universiteti;Fizika;;Azerbaijani;Ə;310.7;310.7;NO;;
2025-2026;Bakı Dövlət Universiteti;Fizika;;English;Ə;337.5;337.5;NO;;
2025-2026;Bakı Dövlət Universiteti;Geologiya;;Azerbaijani;Ə;200.0;213.4;NO;;
2025-2026;Bakı Dövlət Universiteti;Kompüter elmləri;;Azerbaijani;Ə;427.9;427.9;NO;;
2025-2026;Bakı Dövlət Universiteti;Kompüter elmləri;;English;Ə;537.3;537.3;NO;;
2025-2026;Bakı Dövlət Universiteti;Mexanika;;Azerbaijani;Ə;200.0;233.9;YES;51.0;63.1
2025-2026;Bakı Dövlət Universiteti;Riyaziyyat;;Azerbaijani;Ə;402.8;402.8;NO;;
2025-2026;Bakı Dövlət Universiteti;Riyaziyyat;;English;Ə;515.0;515.0;NO;;
2025-2026;Bakı Dövlət Universiteti;Ekologiya mühəndisliyi;;Azerbaijani;Ə;263.4;266.5;NO;;
2025-2026;Bakı Dövlət Universiteti;Geologiya və geofizika mühəndisliyi;;Azerbaijani;Ə;200.0;206.0;YES;51.0;63.0
2025-2026;Bakı Dövlət Universiteti;Geologiya və geofizika mühəndisliyi;;English;Ə;200.0;266.1;NO;;
2025-2026;Bakı Dövlət Universiteti;Geomatika və geodeziya mühəndisliyi;;Azerbaijani;Ə;200.0;220.0;YES;51.0;60.8
2025-2026;Bakı Dövlət Universiteti;İnformasiya təhlükəsizliyi;;Azerbaijani;Ə;542.3;542.3;NO;;
2025-2026;Bakı Dövlət Universiteti;Kimya mühəndisliyi;;Azerbaijani;Ə;406.3;406.3;NO;;
2025-2026;Bakı Dövlət Universiteti;Kimya mühəndisliyi;;English;Ə;517.8;517.8;NO;;
2025-2026;Bakı Dövlət Universiteti;Qida mühəndisliyi;;Azerbaijani;Ə;355.1;355.1;NO;;
