2ci_qrup
year;university;major;branch;language;study_form_symbol;main_min_score;main_competition_score;has_subbakalavr;sub_min_score;sub_competition_score
2023-2024;Bakı Dövlət Universiteti;Coğrafiya müəllimliyi;;Azerbaijani;Ə;319.5;319.5;NO;;
2023-2024;Bakı Dövlət Universiteti;Sosiologiya;;Azerbaijani;Ə;305.4;305.4;NO;;
2023-2024;Bakı Dövlət Universiteti;Sosiologiya;;English;Ə;307.0;;NO;;
2023-2024;Bakı Dövlət Universiteti;Beynəlxalq ticarət və logistika;;Azerbaijani;Ə;280.9;361.8;NO;;
2023-2024;Bakı Dövlət Universiteti;Biznesin idarə edilməsi;;Azerbaijani;Ə;285.1;;NO;;
2023-2024;Bakı Dövlət Universiteti;Davamlı inkişafın idarə edilməsi;;Azerbaijani;Ə;200.0;334.1;YES;96.1;
2023-2024;Bakı Dövlət Universiteti;İqtisadiyyat;;Azerbaijani;Ə;314.8;381.8;NO;;
2023-2024;Bakı Dövlət Universiteti;İqtisadiyyat;;Azerbaijani;Q;200.0;;YES;93.0;
2023-2024;Bakı Dövlət Universiteti;İqtisadiyyat;;English;Ə;404.1;;NO;;
2023-2024;Bakı Dövlət Universiteti;Maliyyə;;Azerbaijani;Ə;437.8;437.8;NO;;
2023-2024;Bakı Dövlət Universiteti;Menecment;;Azerbaijani;Ə;257.9;360.5;NO;;
2023-2024;Bakı Dövlət Universiteti;Statistika;;Azerbaijani;Ə;200.0;314.7;YES;93.5;
2023-2024;Bakı Dövlət Universiteti;Coğrafiya;;Azerbaijani;Ə;284.5;284.5;NO;;
2023-2024;Bakı Dövlət Universiteti;Hidrometeorologiya;;Azerbaijani;Ə;223.5;281.9;NO;;
2023-2024;Bakı Dövlət Universiteti;Turizm işinin təşkili;;Azerbaijani;Ə;310.1;310.1;NO;;
2023-2024;Bakı Dövlət Universiteti;Turizm işinin təşkili;;Azerbaijani;Q;203.7;258.1;NO;;
2023-2024;Bakı Dövlət Universiteti;Turizm işinin təşkili;;English;Ə;312.1;312.1;NO;;
2023-2024;Bakı Dövlət Universiteti;Tarix və coğrafiya müəllimliyi;Qazax filialı;Azerbaijani;Ə;201.4;279.2;NO;;
2023-2024;Bakı Dövlət Universiteti;Turizm işinin təşkili;Qazax filialı;Azerbaijani;Ə;160.9;;NO;;
2023-2024;Bakı Dövlət Universiteti;Turizm işinin təşkili;Qazax filialı;Azerbaijani;Q;154.9;;NO;;
2023-2024;Azərbaycan Dövlət Neft və Sənaye Universiteti;Beynəlxalq ticarət və logistika;;Azerbaijani;Ə;285.8;361.9;NO;;
2023-2024;Azərbaycan Dövlət Neft və Sənaye Universiteti;Biznesin idarə edilməsi;;Azerbaijani;Ə;274.7;;NO;;
2023-2024;Azərbaycan Dövlət Neft və Sənaye Universiteti;Biznesin idarə edilməsi;;English;Ə;310.2;447.3;NO;;
2023-2024;Azərbaycan Dövlət Neft və Sənaye Universiteti;İqtisadiyyat;;Azerbaijani;Ə;298.7;382.3;NO;;
2023-2024;Azərbaycan Dövlət Neft və Sənaye Universiteti;İqtisadiyyat;;English;Ə;415.4;;NO;;
2023-2024;Azərbaycan Dövlət Neft və Sənaye Universiteti;Marketinq;;Azerbaijani;Ə;262.9;334.9;NO;;
2023-2024;Azərbaycan Dövlət Neft və Sənaye Universiteti;Marketinq;;English;Ə;324.4;;NO;;
2023-2024;Azərbaycan Dövlət Neft və Sənaye Universiteti;Menecment;;Azerbaijani;Ə;247.7;360.7;NO;;
2023-2024;Azərbaycan Dövlət Neft və Sənaye Universiteti;Menecment;;English;Ə;282.3;;NO;;
2023-2024;Azərbaycan Texniki Universiteti;Beynəlxalq ticarət və logistika;;Azerbaijani;Ə;255.7;361.5;NO;;
2023-2024;Azərbaycan Texniki Universiteti;Beynəlxalq ticarət və logistika;;Azerbaijani;Q;200.0;;YES;74.1;
2023-2024;Azərbaycan Texniki Universiteti;Biznesin idarə edilməsi;;Azerbaijani;Ə;253.0;;NO;;
2023-2024;Azərbaycan Texniki Universiteti;Biznesin idarə edilməsi;;Azerbaijani;Q;205.9;;NO;;
2023-2024;Azərbaycan Texniki Universiteti;Biznesin idarə edilməsi;;English;Ə;271.1;;NO;;
2023-2024;Azərbaycan Texniki Universiteti;İqtisadiyyat;;Azerbaijani;Ə;260.7;394.5;NO;;
2023-2024;Azərbaycan Texniki Universiteti;İqtisadiyyat;;Azerbaijani;Q;200.0;;YES;92.6;
2023-2024;Azərbaycan Texniki Universiteti;İqtisadiyyat;;English;Ə;250.5;;NO;;
2023-2024;Azərbaycan Texniki Universiteti;Marketinq;;Azerbaijani;Ə;242.1;344.2;NO;;
2023-2024;Azərbaycan Texniki Universiteti;Marketinq;;Azerbaijani;Q;200.1;;NO;;
2023-2024;Azərbaycan Texniki Universiteti;Menecment;;Azerbaijani;Ə;237.4;;NO;;
2023-2024;Azərbaycan Texniki Universiteti;Menecment;;Azerbaijani;Q;200.0;;YES;91.2;
2023-2024;Azərbaycan Texniki Universiteti;Menecment;;English;Ə;215.1;;NO;;
2023-2024;Azərbaycan Texniki Universiteti;Statistika;;Azerbaijani;Ə;213.9;314.4;NO;;
2023-2024;Azərbaycan Texniki Universiteti;Statistika;;Azerbaijani;Q;200.0;;YES;91.0;
2023-2024;Azərbaycan Texniki Universiteti;Nəqliyyatda servis;;Azerbaijani;Ə;200.0;295.3;NO;;
2023-2024;Azərbaycan Texniki Universiteti;Nəqliyyatda servis;;Azerbaijani;Q;200.0;;NO;;
2023-2024;Azərbaycan Memarlıq və İnşaat Universiteti;Biznesin idarə edilməsi;;Azerbaijani;Ə;243.0;;NO;;
2023-2024;Azərbaycan Memarlıq və İnşaat Universiteti;Davamlı inkişafın idarə edilməsi;;Azerbaijani;Ə;212.7;337.6;YES;92.7;
2023-2024;Azərbaycan Memarlıq və İnşaat Universiteti;İqtisadiyyat;;Azerbaijani;Ə;240.8;;NO;;
2023-2024;Azərbaycan Memarlıq və İnşaat Universiteti;Marketinq;;Azerbaijani;Ə;232.9;335.2;NO;;
2023-2024;Azərbaycan Memarlıq və İnşaat Universiteti;Marketinq;;English;Ə;266.8;;NO;;
2023-2024;Azərbaycan Memarlıq və İnşaat Universiteti;Menecment;;Azerbaijani;Ə;223.5;389.3;NO;;
2023-2024;Azərbaycan Dövlət Pedaqoji Universiteti;Coğrafiya müəllimliyi;;Azerbaijani;Ə;279.7;308.5;NO;;
2023-2024;Azərbaycan Dövlət Pedaqoji Universiteti;Tarix və coğrafiya müəllimliyi;;Azerbaijani;Ə;347.3;347.3;NO;;
2023-2024;Azərbaycan Dövlət Pedaqoji Universiteti;Tarix və coğrafiya müəllimliyi;;Azerbaijani;Ə;221.3;277.6;NO;;
2023-2024;Azərbaycan Dövlət Pedaqoji Universiteti;Tarix və coğrafiya müəllimliyi;Şəki filialı;Azerbaijani;Ə;272.0;280.7;NO;;
2023-2024;Azərbaycan Dövlət Pedaqoji Universiteti;Tarix və coğrafiya müəllimliyi;;Azerbaijani;Ə;221.1;276.5;NO;;
2023-2024;Azərbaycan Dövlət Pedaqoji Universiteti;Coğrafiya müəllimliyi;Quba filialı;Azerbaijani;Ə;200.0;;NO;;
2023-2024;Azərbaycan Dövlət İqtisad Universiteti;Beynəlxalq ticarət və logistika;;Azerbaijani;Ə;328.3;361.4;NO;;
2023-2024;Azərbaycan Dövlət İqtisad Universiteti;Beynəlxalq ticarət və logistika;;Azerbaijani;Ə;376.0;376.0;NO;;
2023-2024;Azərbaycan Dövlət İqtisad Universiteti;Beynəlxalq ticarət və logistika;;Azerbaijani;Q;200.0;365.0;YES;77.9;
2023-2024;Azərbaycan Dövlət İqtisad Universiteti;Beynəlxalq ticarət və logistika;;Azerbaijani;Ə;569.2;569.2;NO;;
2023-2024;Azərbaycan Dövlət İqtisad Universiteti;Biznesin idarə edilməsi;;Turkish;Ə;279.0;447.2;NO;;
2023-2024;Azərbaycan Dövlət İqtisad Universiteti;Biznesin idarə edilməsi;;Azerbaijani;Ə;327.2;446.7;NO;;
2023-2024;Azərbaycan Dövlət İqtisad Universiteti;Biznesin idarə edilməsi;;Azerbaijani;Q;216.9;;NO;;
2023-2024;Azərbaycan Dövlət İqtisad Universiteti;Biznesin idarə edilməsi;;English;Ə;581.1;581.1;NO;;
2023-2024;Azərbaycan Dövlət İqtisad Universiteti;Dövlət və bələdiyyə idarəetməsi;;Turkish;Ə;200.0;330.9;YES;88.7;
2023-2024;Azərbaycan Dövlət İqtisad Universiteti;Dövlət və bələdiyyə idarəetməsi;;Azerbaijani;Ə;336.1;336.1;YES;92.8;
2023-2024;Azərbaycan Dövlət İqtisad Universiteti;İqtisadiyyat;;Turkish;Ə;350.7;;NO;;
2023-2024;Azərbaycan Dövlət İqtisad Universiteti;İqtisadiyyat;;Azerbaijani;Ə;397.7;397.7;NO;;
2023-2024;Azərbaycan Dövlət İqtisad Universiteti;İqtisadiyyat;;Azerbaijani;Q;200.0;395.3;YES;97.2;
2023-2024;Azərbaycan Dövlət İqtisad Universiteti;İqtisadiyyat;;English;Ə;604.3;;NO;;
2023-2024;Azərbaycan Dövlət İqtisad Universiteti;Maliyyə;;Turkish;Ə;451.9;;NO;;
2023-2024;Azərbaycan Dövlət İqtisad Universiteti;Maliyyə;;Azerbaijani;Ə;501.0;501.0;NO;;
2023-2024;Azərbaycan Dövlət İqtisad Universiteti;Maliyyə;;Azerbaijani;Q;200.0;515.9;YES;96.5;
2023-2024;Azərbaycan Dövlət İqtisad Universiteti;Maliyyə;;English;Ə;618.4;;NO;;
2023-2024;Azərbaycan Dövlət İqtisad Universiteti;Marketinq;;Turkish;Ə;294.9;;NO;;
2023-2024;Azərbaycan Dövlət İqtisad Universiteti;Marketinq;;Azerbaijani;Ə;346.0;346.0;NO;;
2023-2024;Azərbaycan Dövlət İqtisad Universiteti;Marketinq;;Azerbaijani;Q;210.9;340.1;NO;;
2023-2024;Azərbaycan Dövlət İqtisad Universiteti;Menecment;;Azerbaijani;Ə;312.5;357.3;NO;;
2023-2024;Azərbaycan Dövlət İqtisad Universiteti;Menecment;;Azerbaijani;Q;200.0;;YES;93.3;
2023-2024;Azərbaycan Dövlət İqtisad Universiteti;Mühasibat;;Turkish;Ə;365.1;;NO;;
2023-2024;Azərbaycan Dövlət İqtisad Universiteti;Mühasibat;;Azerbaijani;Ə;402.2;402.2;NO;;
