2ci_qrup
year;university;major;branch;language;study_form_symbol;main_min_score;main_competition_score;has_subbakalavr;sub_min_score;sub_competition_score
2022-2023;Azərbaycan Dövlət Neft və Sənaye Universiteti;Beynəlxalq ticarət və logistika;;Azerbaijani;Ə;256.1;369.6;NO;;
2022-2023;Azərbaycan Dövlət Neft və Sənaye Universiteti;Biznesin idarə edilməsi;;Azerbaijani;Ə;256.1;458.9;NO;;
2022-2023;Azərbaycan Dövlət Neft və Sənaye Universiteti;Biznesin idarə edilməsi;;Azerbaijani;Q;212.4;;NO;;
2022-2023;Azərbaycan Dövlət Neft və Sənaye Universiteti;Biznesin idarə edilməsi;;English;Ə;289.9;424.2;NO;;
2022-2023;Azərbaycan Dövlət Neft və Sənaye Universiteti;İqtisadiyyat;;Azerbaijani;Ə;252.3;408.8;NO;;
2022-2023;Azərbaycan Dövlət Neft və Sənaye Universiteti;İqtisadiyyat;;English;Ə;360.5;;NO;;
2022-2023;Azərbaycan Dövlət Neft və Sənaye Universiteti;Marketinq;;Azerbaijani;Ə;250.7;322.1;NO;;
2022-2023;Azərbaycan Dövlət Neft və Sənaye Universiteti;Marketinq;;English;Ə;303.2;;NO;;
2022-2023;Azərbaycan Dövlət Neft və Sənaye Universiteti;Menecment;;Azerbaijani;Ə;222.5;352.1;NO;;
2022-2023;Azərbaycan Dövlət Neft və Sənaye Universiteti;Menecment;;English;Ə;200.0;;NO;;
2022-2023;Azərbaycan Texniki Universiteti;Beynəlxalq ticarət və logistika;;Azerbaijani;Ə;223.7;;NO;;
2022-2023;Azərbaycan Texniki Universiteti;Biznesin idarə edilməsi;;Azerbaijani;Ə;246.5;;NO;;
2022-2023;Azərbaycan Texniki Universiteti;Biznesin idarə edilməsi;;Azerbaijani;Q;207.7;;NO;;
2022-2023;Azərbaycan Texniki Universiteti;Biznesin idarə edilməsi;;English;Ə;270.5;;NO;;
2022-2023;Azərbaycan Texniki Universiteti;İqtisadiyyat;;Azerbaijani;Ə;231.9;377.9;NO;;
2022-2023;Azərbaycan Texniki Universiteti;İqtisadiyyat;;English;Ə;200.0;;NO;;
2022-2023;Azərbaycan Texniki Universiteti;Marketinq;;Azerbaijani;Ə;234.5;322.8;NO;;
2022-2023;Azərbaycan Texniki Universiteti;Marketinq;;Azerbaijani;Q;201.9;;NO;;
2022-2023;Azərbaycan Texniki Universiteti;Menecment;;Azerbaijani;Ə;213.4;;NO;;
2022-2023;Azərbaycan Texniki Universiteti;Menecment;;English;Ə;200.0;;NO;;
2022-2023;Azərbaycan Texniki Universiteti;Statistika;;Azerbaijani;Ə;200.0;314.0;YES;90.2;
2022-2023;Azərbaycan Texniki Universiteti;Nəqliyyatda servis;;Azerbaijani;Ə;289.5;289.5;NO;;
2022-2023;Azərbaycan Texniki Universiteti;Nəqliyyatda servis;;Azerbaijani;Q;200.0;;NO;;
2022-2023;Azərbaycan Memarlıq və İnşaat Universiteti;Biznesin idarə edilməsi;;Azerbaijani;Ə;238.2;;NO;;
2022-2023;Azərbaycan Memarlıq və İnşaat Universiteti;Davamlı inkişafın idarə edilməsi;;Azerbaijani;Ə;200.0;310.3;YES;86.0;
2022-2023;Azərbaycan Memarlıq və İnşaat Universiteti;İqtisadiyyat;;Azerbaijani;Ə;223.2;;NO;;
2022-2023;Azərbaycan Memarlıq və İnşaat Universiteti;İqtisadiyyat;;Azerbaijani;Q;200.0;;YES;91.7;
2022-2023;Azərbaycan Memarlıq və İnşaat Universiteti;İqtisadiyyat;;English;Ə;200.0;;NO;;
2022-2023;Azərbaycan Memarlıq və İnşaat Universiteti;Marketinq;;Azerbaijani;Ə;227.7;323.1;NO;;
2022-2023;Azərbaycan Memarlıq və İnşaat Universiteti;Marketinq;;English;Ə;256.6;;NO;;
2022-2023;Azərbaycan Memarlıq və İnşaat Universiteti;Menecment;;Azerbaijani;Ə;200.0;;YES;93.9;
2022-2023;Azərbaycan Memarlıq və İnşaat Universiteti;Menecment;;English;Ə;200.0;;NO;;
2022-2023;Azərbaycan Dövlət Pedaqoji Universiteti;Coğrafiya müəllimliyi;;Azerbaijani;Ə;239.0;298.2;NO;;
2022-2023;Azərbaycan Dövlət Pedaqoji Universiteti;Tarix və coğrafiya müəllimliyi;;Azerbaijani;Ə;349.1;349.1;NO;;
2022-2023;Azərbaycan Dövlət Pedaqoji Universiteti;Tarix və coğrafiya müəllimliyi;;Azerbaijani;Ə;200.0;286.2;NO;;
